Number of lines read from the beginning of the file,Execution time without tests (seconds),Execution time with unit tests (seconds)
100,0.016559362411499023,0.0
1000,0.05154752731323242,0.04853367805480957
2000,0.10003852844238281,0.09993839263916016
3000,0.16664981842041016,0.15015196800231934
4000,0.21781063079833984,0.1998891830444336
5000,0.2499847412109375,0.26660919189453125
6000,0.29994821548461914,0.3166623115539551
7000,0.34988903999328613,0.3500034809112549
8000,0.40012145042419434,0.43308258056640625
9000,0.46666598320007324,0.46658754348754883
10000,0.500054121017456,0.4999709129333496
